       EEG1       EEG2       EEG3       EEG4
      -40.9      -51.4       -2.4       -8.0
      -38.6      -55.1       -5.9       -6.6
      -27.5      -49.6       -8.6       -6.9
      -14.5      -37.5      -10.9       -8.0
       -5.8      -23.4      -12.0       -9.4
       -3.3      -12.0      -12.0       -9.8
       -5.8       -6.8      -11.4       -7.6
       -9.5       -6.8       -8.4       -4.3
       -9.9       -8.4       -2.5       -1.0
       -5.9      -10.5        3.8        3.5
       -0.6      -13.5        8.3        6.5
        2.4      -15.8       10.8        2.8
        2.3      -14.9       11.5       -4.0
        0.4       -9.6       10.9       -6.3
       -1.8       -1.5        9.3       -1.9
       -3.5        6.0        7.3        6.1
       -4.5       10.4        5.8       11.6
       -4.5       10.3        4.5       12.0
       -3.6        5.1        2.9       10.1
       -2.1       -2.6        1.6        8.1
       -1.5       -9.0        1.1        6.1
       -3.9      -11.8       -0.1        5.0
       -9.5      -10.9       -3.3        5.4
      -14.6       -7.3       -7.3        6.0
      -14.3       -2.4      -10.8        5.4
       -6.1        3.5      -13.1        5.9
        6.9       10.6      -14.8        9.4
       18.5       16.6      -16.6       10.3
       23.6       18.8      -17.9        5.9
       21.1       15.9      -17.0        0.0
       12.9        9.0      -13.9       -4.1
        1.6        0.1       -9.0       -4.8
      -10.8      -10.5       -3.1       -3.9
      -22.6      -23.0        2.3       -3.1
      -31.0      -33.5        5.6       -1.1
      -32.0      -34.8        7.4        1.0
      -24.9      -23.9        8.9        1.3
      -15.1       -7.1        9.8        0.8
       -8.9        7.3       10.5       -0.1
       -5.4       16.5       13.5       -1.1
       -1.1       21.4       18.6       -0.1
        3.0       20.9       22.9        0.8
        3.4       15.0       24.1       -2.4
       -0.6        7.5       22.3       -7.4
       -7.0        3.5       18.9      -10.1
      -13.4        4.3       14.4       -9.8
      -17.5        7.0        8.1       -9.4
      -17.1        9.4        1.0      -10.8
      -12.9       10.6       -5.5      -12.1
       -8.6        9.9      -11.6      -11.3
       -7.6        6.4      -18.0       -7.8
       -9.1        3.9      -23.9       -2.6
       -8.8        6.3      -26.5        2.3
       -4.0       10.8      -24.6        4.6
        2.4       11.3      -20.9        3.8
        6.6        7.0      -17.9        0.1
        8.3        2.5      -15.1       -3.1
        9.0        1.6      -11.9       -1.6
        9.4        3.6       -8.8        4.4
        8.3        5.0       -6.9        6.9
        6.3        4.1       -5.6        0.6
